,Username,Positive,Negative,Neutral,Overall
0,Sample,Sample,Sample,Sample,Sample
1,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
2,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
3,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
4,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
5,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
6,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
7,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
8,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
9,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
10,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
11,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
12,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
13,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
14,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
15,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
16,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
17,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
18,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
19,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
20,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
21,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
22,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
23,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
24,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
25,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
26,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
27,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
28,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
29,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
30,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
31,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
32,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
33,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
34,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
35,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
36,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
37,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
38,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
39,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
40,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
41,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
42,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
43,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
44,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
45,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
46,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
47,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
48,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
49,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
50,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
51,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
52,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
53,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
54,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
55,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
56,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
57,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
58,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
59,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
60,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
61,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
62,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
63,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
64,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
65,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
66,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
67,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
68,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
69,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
70,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
71,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
72,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
