User-name,Bot_Score,Echo_chamber,Fake_follower,Financial,Self_declared,Spammer,Most_recent_post,Likes,Recent_tweets_per_week,Retweet_ratio,Tweets_by_day_of_week_list,Sun,Mon,Tues,Wed,Thurs,Fri,Sat,Tweets_by_hour_of_day_list,12AM,1AM,2AM,3AM,4AM,5AM,6AM,7AM,8AM,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM,6PM,7PM,8PM,9PM,10PM,11PM
@TheMahiraKhan,0.2,0.6,0.1,0.0,0.1,0.0,"Tue Nov 15, 2011","4,989",5.9,2,"[27, 27, 14, 10, 15, 19, 88]",27,27,14,10,15,19,88,"[1, 2, 19, 1, 1, 0, 5, 1, 7, 1, 9, 7, 9, 11, 4, 6, 6, 8, 24, 29, 12, 15, 9, 13]",1,2,19,1,1,0,5,1,7,1,9,7,9,11,4,6,6,8,24,29,12,15,9,13
@ImranAbbas,0.6,0.2,0.4,0.0,0.0,0.0,"Thu Feb 23, 2023",50,0.73,8,"[36, 32, 19, 29, 28, 22, 34]",36,32,19,29,28,22,34,"[15, 8, 7, 5, 2, 0, 0, 0, 2, 9, 4, 14, 8, 9, 4, 6, 14, 9, 13, 19, 10, 11, 11, 20]",15,8,7,5,2,0,0,0,2,9,4,14,8,9,4,6,14,9,13,19,10,11,11,20
